Customer,Count of Customer,Count of Pre Customer,Perc_transac_change,Post TRAN_AMT,Pre TRAN_AMT,Perce_Amnt_change
110429555,17877,16,111631.25%,164643072180.83002,₦117683210.00,139803.62%
111032271,17877,16,111631.25%,164643072180.83002,₦159651000.00,103026.87%
112406132,17877,16,111631.25%,164643072180.83002,₦124081335.00,132589.64%
116403902,17877,16,111631.25%,164643072180.83002,₦107609455.00,152900.56%
150008036,17877,16,111631.25%,164643072180.83002,₦109341000.00,150477.62%
182012330,17877,16,111631.25%,164643072180.83002,₦110007500.00,149565.32%
222011536,17877,16,111631.25%,164643072180.83002,₦119965845.00,137141.62%
228005151,17877,16,111631.25%,164643072180.83002,₦205679700.00,79948.28%
275410305,17877,16,111631.25%,164643072180.83002,₦114400000.00,143818.77%
279404633,17877,16,111631.25%,164643072180.83002,₦139675000.00,117775.83%
364407860,17877,16,111631.25%,164643072180.83002,₦310757800.00,52881.16%
375011966,17877,16,111631.25%,164643072180.83002,₦129977100.00,126570.83%
423411881,17877,16,111631.25%,164643072180.83002,₦80000000.00,205703.84%
576018551,17877,16,111631.25%,164643072180.83002,₦100510000.00,163707.65%
595408954,17877,16,111631.25%,164643072180.83002,₦146271000.00,112460.30%
626407888,17877,16,111631.25%,164643072180.83002,₦135370980.00,121523.61%
627009884,17877,16,111631.25%,164643072180.83002,₦102496500.00,160532.87%
650006549,17877,16,111631.25%,164643072180.83002,₦154170000.00,106693.20%
663429608,17877,16,111631.25%,164643072180.83002,₦104766500.00,157052.40%
721409170,17877,16,111631.25%,164643072180.83002,₦113105330.00,145466.15%
784402752,17877,16,111631.25%,164643072180.83002,₦83649200.00,196725.64%
211405131,17877,15,119080.00%,164643072180.83002,₦234780000.00,70026.53%
220006783,17877,15,119080.00%,164643072180.83002,₦156204500.00,105302.26%
279413601,17877,15,119080.00%,164643072180.83002,₦113493990.00,144967.66%
298406028,17877,15,119080.00%,164643072180.83002,₦177219005.00,92803.73%
356038739,17877,15,119080.00%,164643072180.83002,₦125952000.00,130618.90%
356407231,17877,15,119080.00%,164643072180.83002,₦92788545.00,177339.01%
